"from","to"
"Erin Krupka","Roberto Weber"
"Simon Gachter","Daniele Nosenzo"
"Simon Gachter","Martin Sefton"
"Daniele Nosenzo","Martin Sefton"
"Stephen Burks","Erin Krupka"
"Wojciech Hardy","Michal Krawczyk"
"Wojciech Hardy","Joanna Tyrowicz"
"Michal Krawczyk","Joanna Tyrowicz"
"Mark Bernard","Ernesto Reuben"
"Mark Bernard","Arno Riedl"
"Ernesto Reuben","Arno Riedl"
"Cristina Bicchieri","Erte Xiao"
"Erte Xiao","Cristina Bicchieri"
"Christoph Engel","Michael Kurschilgen"
"Alex K. Chavez","Cristina Bicchieri"
"Edward Lazear","Ulrike Malmendier"
"Edward Lazear","Roberto Weber"
"Ulrike Malmendier","Roberto Weber"
